exp,r1_s1,r2_s1,r3_s1,avg_s1,std_s1,unit_s1,r1_s2,r2_s2,r3_s2,avg_s2,std_s2,unit_s2,
th_1,950.282,950.282,950.282,950.282,6.10352e-05,Mbps,,,,,,,
th_2,475.152,475.152,475.152,475.152,0,Mbps,475.149,475.149,475.149,475.149,3.05176e-05,Mbps,
th_3,950.282,950.282,950.282,950.282,6.10352e-05,Mbps,,,,,,,
th_4,475.152,475.152,475.152,475.152,0,Mbps,475.149,475.149,475.149,475.149,3.05176e-05,Mbps,
th_5,475.152,475.152,475.152,475.152,0,Mbps,475.149,475.149,475.149,475.149,3.05176e-05,Mbps,
afct_1,0.463586,0.463586,0.463586,0.463586,2.98023e-08,Seconds,,,,,,,
afct_2,0.927149,0.927149,0.927149,0.927149,0,Seconds,0.927156,0.927156,0.927156,0.927156,0,Seconds,
afct_3,0.463586,0.463586,0.463586,0.463586,2.98023e-08,Seconds,,,,,,,
afct_4,0.927149,0.927149,0.927149,0.927149,0,Seconds,0.927156,0.927156,0.927156,0.927156,0,Seconds,
afct_5,0.927149,0.927149,0.927149,0.927149,0,Seconds,0.927156,0.927156,0.927156,0.927156,0,Seconds,
